sigma,tau_r,recovery_probability,mean_t_return,mean_functional_time,std_functional_time,mean_x_max,tau_sigma_ratio
3.316326530612245,4.428571428571429,1.0,23.675,26.325,1.5420960880657169,0.39147112274614443,1.3353846153846154
3.316326530612245,4.918367346938775,1.0,24.766666666666666,25.233333333333334,2.026902398571114,0.4162495415324176,1.483076923076923
3.316326530612245,5.408163265306122,1.0,26.003333333333334,23.996666666666666,2.322637224828905,0.439372543104781,1.6307692307692305
3.316326530612245,5.8979591836734695,1.0,27.35,22.65,3.429712966777651,0.46085956871231015,1.7784615384615385
3.316326530612245,6.387755102040816,1.0,28.14666666666667,21.85333333333333,3.3753143744600713,0.48106757227488867,1.926153846153846
3.316326530612245,6.877551020408163,1.0,28.961666666666666,21.038333333333334,3.2248144382149415,0.49984056190883286,2.0738461538461537
3.316326530612245,7.36734693877551,1.0,30.561666666666667,19.438333333333333,4.153118548532046,0.517219164328628,2.221538461538462
3.316326530612245,7.857142857142857,1.0,31.91166666666667,18.08833333333333,4.2899578675958026,0.5333285890129859,2.3692307692307693
3.316326530612245,8.346938775510203,1.0,33.20666666666667,16.793333333333333,4.493898801350738,0.5484380338924859,2.5169230769230766
3.316326530612245,8.83673469387755,1.0,34.1,15.899999999999999,4.384258675982867,0.5626781784818627,2.664615384615384
3.316326530612245,9.326530612244898,1.0,36.135000000000005,13.864999999999998,4.481824405306393,0.5759644785127661,2.8123076923076926
3.316326530612245,9.816326530612244,0.9666666666666667,37.708333333333336,12.291666666666664,5.802958272523049,0.5884221306824743,2.9599999999999995
3.316326530612245,10.306122448979592,0.9666666666666667,38.32000000000001,11.679999999999998,5.649726877744043,0.6000851089555641,3.1076923076923078
3.316326530612245,10.795918367346939,0.9666666666666667,39.42333333333333,10.576666666666664,6.393177038349412,0.6110926174123136,3.2553846153846155
3.316326530612245,11.285714285714285,0.9333333333333333,40.42666666666667,9.57333333333333,6.5993434016827255,0.6215706956157518,3.403076923076923
3.316326530612245,11.775510204081632,0.8,42.86,7.139999999999998,8.692529491783002,0.6316103559624372,3.5507692307692307
3.316326530612245,12.26530612244898,0.8,43.68833333333334,6.311666666666664,8.440089917535946,0.6411829293272986,3.6984615384615385
3.316326530612245,12.755102040816325,0.7666666666666667,44.49666666666667,5.503333333333331,8.488927202978669,0.6502445620370184,3.846153846153846
3.316326530612245,13.244897959183673,0.6333333333333333,45.65,4.349999999999998,8.751522035111064,0.6589145086070753,3.9938461538461536
3.316326530612245,13.73469387755102,0.6333333333333333,46.160000000000004,3.8399999999999976,8.707689823883571,0.6673082609356283,4.141538461538461
3.316326530612245,14.224489795918368,0.6,47.11666666666667,2.883333333333331,9.234197436640097,0.6752778895790689,4.28923076923077
3.316326530612245,14.714285714285714,0.6,48.135000000000005,1.8649999999999975,8.862339439720621,0.6828457123112444,4.436923076923077
3.316326530612245,15.204081632653061,0.6,48.69833333333334,1.3016666666666636,8.685019636820291,0.690061293728225,4.584615384615384
3.316326530612245,15.693877551020408,0.5666666666666667,49.653333333333336,0.3466666666666638,8.343497709173805,0.696943232593533,4.732307692307692
3.316326530612245,16.183673469387756,0.5,51.11833333333334,-1.1183333333333363,9.375136627356914,0.7035091736256979,4.88
3.316326530612245,16.6734693877551,0.43333333333333335,52.155,-2.155000000000002,9.631041319429157,0.7098034339509809,5.027692307692307
3.316326530612245,17.163265306122447,0.4,53.31666666666667,-3.3166666666666695,9.335410277940186,0.7158310363926991,5.175384615384615
3.316326530612245,17.653061224489797,0.3,55.10344827586207,-5.103448275862072,9.228158876837657,0.7216011204652691,5.323076923076924
3.316326530612245,18.142857142857142,0.26666666666666666,55.16428571428572,-5.164285714285718,9.302029419581048,0.7271440156677634,5.47076923076923
3.316326530612245,18.632653061224488,0.23333333333333334,56.07857142857143,-6.078571428571432,10.104934883249323,0.732460314340883,5.6184615384615375
3.316326530612245,19.122448979591837,0.23333333333333334,58.3875,-8.387500000000003,10.966207563845094,0.7375546209173043,5.766153846153847
3.316326530612245,19.612244897959183,0.23333333333333334,58.418518518518525,-8.418518518518521,10.33288391633672,0.7424414140957382,5.913846153846154
3.316326530612245,20.10204081632653,0.23333333333333334,59.228846153846156,-9.228846153846158,10.640368161646695,0.7471574858836945,6.061538461538461
3.316326530612245,20.591836734693878,0.2,59.81153846153847,-9.811538461538465,10.59158446779619,0.7516978338549886,6.2092307692307696
3.316326530612245,21.081632653061224,0.2,60.11600000000001,-10.116000000000003,9.858210621946897,0.7560827206876054,6.356923076923077
3.316326530612245,21.57142857142857,0.2,61.08958333333334,-11.089583333333337,10.378457822593987,0.7604033403113722,6.504615384615383
3.316326530612245,22.06122448979592,0.13333333333333333,61.845652173913045,-11.845652173913045,9.992234633175249,0.7645859729938007,6.6523076923076925
3.316326530612245,22.551020408163264,0.1,62.28260869565217,-12.282608695652176,9.789681588930677,0.7686267148509203,6.8
3.316326530612245,23.04081632653061,0.1,62.243181818181824,-12.243181818181823,9.360966263903498,0.7725457794606031,6.947692307692307
3.316326530612245,23.53061224489796,0.06666666666666667,63.618181818181824,-13.618181818181823,9.812741297664571,0.7763361970528245,7.095384615384615
3.316326530612245,24.020408163265305,0.06666666666666667,64.36136363636363,-14.361363636363638,9.44139734182572,0.7800219342136906,7.243076923076923
3.316326530612245,24.51020408163265,0.03333333333333333,66.75714285714287,-16.75714285714286,7.928197867647567,0.7836061366367032,7.390769230769231
3.316326530612245,25.0,0.03333333333333333,67.27380952380952,-17.273809523809526,7.949443676252118,0.7870757891187355,7.538461538461538
